Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56,Male,88.3,1.71,180.0,157.0,60.0,1.69,1313.0,Yoga,12.6,3.5,4,3,30.2
46,Female,74.9,1.53,179.0,151.0,66.0,1.3,883.0,HIIT,33.9,2.1,4,2,32.0
32,Female,68.1,1.66,167.0,122.0,54.0,1.11,677.0,Cardio,33.4,2.3,4,2,24.71
25,Male,53.2,1.7,190.0,164.0,56.0,0.59,532.0,Strength,28.8,2.1,3,1,18.41
38,Male,46.1,1.79,188.0,158.0,68.0,0.64,556.0,Strength,29.2,2.8,3,1,14.39
56,Female,58.0,1.68,168.0,156.0,74.0,1.59,1116.0,HIIT,15.5,2.7,5,3,20.55
36,Male,70.3,1.72,174.0,169.0,73.0,1.49,1385.0,Cardio,21.3,2.3,3,2,23.76
40,Female,69.7,1.51,189.0,141.0,64.0,1.27,895.0,Cardio,30.6,1.9,3,2,30.57
28,Male,121.7,1.94,185.0,127.0,52.0,1.03,719.0,Strength,28.9,2.6,4,2,32.34
28,Male,101.8,1.84,169.0,136.0,64.0,1.08,808.0,Cardio,29.7,2.7,3,1,30.07
41,Male,120.8,1.67,188.0,146.0,54.0,0.82,593.0,HIIT,20.5,3.0,2,1,43.31
53,Male,51.7,1.7,175.0,152.0,72.0,1.15,865.0,HIIT,23.6,3.5,3,2,17.89
57,Male,112.5,1.61,195.0,165.0,61.0,1.24,1013.0,Cardio,22.1,2.7,3,2,43.4
41,Male,94.5,2.0,179.0,136.0,69.0,1.18,794.0,HIIT,27.6,3.7,3,1,23.62
20,Male,117.7,1.81,196.0,161.0,54.0,1.35,1195.0,Yoga,26.4,3.3,3,2,35.93
39,Female,42.5,1.75,181.0,131.0,52.0,1.13,740.0,Strength,26.2,2.1,2,1,13.88
19,Female,64.0,1.53,166.0,167.0,58.0,1.33,1111.0,HIIT,29.8,2.3,3,2,27.34
