Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
0,Partner plank band row,"Partner Plank Band Row to ćwiczenie brzucha, w którym dwóch partnerów wykonuje deski jednoramienne, jednocześnie ciągnąc przeciwne końce zespołu ćwiczeń.Ta technika może być wykonana dla czasu lub powtórzeń podczas każdego treningu zorientowanego na A.",Strength Training,Abdominals,Bands,Intermediate,0.0,
1,Banded crunch isometric hold,"Zebrane chrupiące izometryczne wstrzymanie to ćwiczenie ukierunkowane na mięśnie brzucha, szczególnie mięśnie odbytnicy lub mięśnie „sześciopakowe”.Pasmo dodaje oporu i ciągłego napięcia do tego popularnego ćwiczenia.",Strength Training,Abdominals,Bands,Intermediate,,
2,FYR Banded Plank Jack,"Zebrana deska gniazda to odmiana deski, która polega na przeniesieniu nóg do powtórzeń.Posiadanie opaski wokół ud zmusza do dolnej części ciała do cięższej pracy, szczególnie bioder i pośladków.Wnioskodka deska jest powszechnie wykonywana jako część obwodu masy ciała lub jako część dynamicznego rozgrzewki.",Strength Training,Abdominals,Bands,Intermediate,,
3,Banded crunch,"Zebrany kryzys jest ćwiczeniem skierowanym do mięśni brzucha, zwłaszcza mięśni odbytnicy lub mięśni „sześciopakowych”.Pasmo dodaje oporu i ciągłego napięcia do tego popularnego ćwiczenia.",Strength Training,Abdominals,Bands,Intermediate,,
4,Crunch,"Chrupnięcie jest popularnym podstawowym ćwiczeniem ukierunkowanym na brzuch odbytnicy, czyli mięśnie „sześciopak”, a także skośne.Był to centralny punkt wielu treningów skoncentrowanych na A, ze względu na jego prostotę, jak i intensywne połączenie oparzenia i mięśnia, które wytwarza.Można go wykonywać dla czasu lub powtórzeń w ramach zorientowanej na A części każdego treningu.",Strength Training,Abdominals,Bands,Intermediate,,
5,Decline band press sit-up,"Sit-U-U-U-U-U-U-U-U-U-U-Ups Band-Core Ćwiczenie, które wykonuje mięśnie brzuszne odbytnicy lub „sześciopakowe”, a także mięśnie głębokiego rdzenia.Opodatkuje również mięśnie ramion i górnej części pleców.Syt-U-U-U-Uping z dodatkową rezystancją są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej, w ramach skoncentrowanej na rdzeniu części treningu.",Strength Training,Abdominals,Bands,Intermediate,,
6,FYR2 Banded Frog Pump,,Strength Training,Abdominals,Bands,Intermediate,,
7,Band low-to-high twist,"Pasmo niskie do wysokiego skrętu jest podstawowym ćwiczeniem ukierunkowanym na górne brzuch i ukośne.Uważaj, aby wykonać go z kontrolą, ponieważ szybkie, niekontrolowane skręcanie może zranić kręgosłup.Zazwyczaj wykonuje się to dla umiarkowanych do wysokich powtórzeń, co najmniej 8-15 na stronę, w ramach skoncentrowanej na rdzeniu części treningu.",Strength Training,Abdominals,Bands,Intermediate,,
8,Barbell roll-out,"Wdrożenie Barbell to ćwiczenie brzucha, które wykorzystuje sztangę w miejscu rolki AB.Jest najlepiej wykonany z sztangą, która ma obracające się kołnierze i jest uważane za trudniejsze niż inne warianty rolkowe AB.Wielu podnośników może na początku nie być w stanie wykonać jednego przedstawiciela, ale kiedy będą mogli je wykonać dla przedstawicieli, zostaną nagrodzone poważnym rdzeniem.",Strength Training,Abdominals,Barbell,Intermediate,8.9,Average
9,Barbell Ab Rollout - On Knees,"Wdrożenie Barbell to ćwiczenie brzucha, które wykorzystuje sztangę w miejscu rolki AB.Jest najlepiej wykonany z sztangą, która ma obracające się kołnierze i jest uważane za trudniejsze niż inne warianty rolkowe AB.Wielu podnośników może na początku nie być w stanie wykonać jednego przedstawiciela, ale kiedy będą mogli je wykonać dla przedstawicieli, zostaną nagrodzone poważnym rdzeniem.",Strength Training,Abdominals,Barbell,Intermediate,8.9,Average
